time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-20T18:23:29.940Z,39.7018,26.3823,10,5.1,mww,,37,1.209,1.15,us,us2000jkr3,2019-03-01T12:09:13.106Z,"9km SSE of Ezine, Turkey",earthquake,5.3,1.8,0.062,25,reviewed,us,us
2019-02-20T12:33:17.490Z,14.6779,53.7136,10,5,mb,,66,10.479,0.76,us,us2000jkm5,2019-02-20T21:00:23.040Z,"200km ESE of Haswayn, Yemen",earthquake,10.5,1.9,0.059,90,reviewed,us,us
2019-02-20T00:10:39.670Z,0.749,126.1874,36.43,5.6,mww,,45,1.179,1.06,us,us2000jkcy,2019-02-20T21:05:56.040Z,"131km W of Kota Ternate, Indonesia",earthquake,6.2,5.5,0.066,22,reviewed,us,us
2019-02-19T18:46:41.000Z,-6.5626,101.7793,10,5.1,mww,,35,2.481,0.76,us,us2000jk4v,2019-02-20T18:25:19.040Z,"277km SW of Kuripan, Indonesia",earthquake,7.4,1.8,0.065,23,reviewed,us,us
2019-02-19T05:23:46.570Z,-4.9427,153.3807,50.61,5,mb,,119,1.424,0.74,us,us2000jjve,2019-02-19T05:42:45.040Z,"65km SE of Taron, Papua New Guinea",earthquake,9.8,7.5,0.081,48,reviewed,us,us
2019-02-19T02:05:39.490Z,-21.5493,-174.113,10,5.2,mb,,113,4.635,1.08,us,us2000jjtn,2019-02-19T02:26:36.040Z,"89km ESE of `Ohonua, Tonga",earthquake,12.8,1.9,0.059,96,reviewed,us,us
2019-02-18T19:30:22.730Z,-9.5056,112.8624,21.6,5.6,mww,,33,1.637,1,us,us2000jjm5,2019-02-19T22:25:46.040Z,"123km S of Krajan Tambakrejo, Indonesia",earthquake,6.9,3.5,0.073,18,reviewed,us,us
2019-02-18T04:15:51.190Z,-0.9001,127.3107,32.34,5,mww,,90,1.661,0.9,us,us2000jjfv,2019-02-18T04:34:11.040Z,"63km NW of Laiwui, Indonesia",earthquake,6.1,5.1,0.073,18,reviewed,us,us
2019-02-18T01:18:12.320Z,1.6778,126.4199,70.32,5,mb,,95,1.306,1.05,us,us2000jje6,2019-02-18T02:10:11.753Z,"140km E of Bitung, Indonesia",earthquake,8,7.1,0.076,55,reviewed,us,us
2019-02-17T23:18:54.100Z,-59.879,-25.8795,10,5.1,mb,,46,8.046,0.76,us,us2000jjd0,2019-02-18T03:11:52.040Z,"100km SSE of Bristol Island, South Sandwich Islands",earthquake,10.2,1.7,0.063,83,reviewed,us,us
2019-02-17T14:35:55.840Z,-3.3412,152.1319,368.12,6.4,mww,,23,0.845,1.39,us,us2000jj68,2019-03-03T14:37:11.542Z,"49km NW of Namatanai, Papua New Guinea",earthquake,8.8,3.3,0.04,60,reviewed,us,us
2019-02-17T13:22:08.030Z,-23.4656,-64.6916,10,5,mww,,64,3.248,0.94,us,us2000jj5u,2019-03-03T14:23:09.375Z,"29km NW of Yuto, Argentina",earthquake,8.1,1.8,0.069,20,reviewed,us,us
2019-02-17T11:29:17.260Z,-55.1028,-31.6533,10,5,mb,,92,2.923,0.74,us,us2000jj4h,2019-02-17T11:45:01.040Z,"South Georgia Island region",earthquake,11.5,1.9,0.07,65,reviewed,us,us
2019-02-17T02:13:39.720Z,25.2789,124.6484,10,5,mb,,89,1.692,0.74,us,us2000jj18,2019-02-17T02:31:48.040Z,"83km NW of Hirara, Japan",earthquake,8.3,1.9,0.079,51,reviewed,us,us
2019-02-16T10:01:28.370Z,25.293,125.0184,10,5.2,mww,,84,1.999,0.72,us,us2000jitm,2019-02-16T16:30:22.040Z,"60km NNW of Hirara, Japan",earthquake,5.6,1.8,0.066,22,reviewed,us,us
2019-02-16T06:45:55.830Z,41.3292,-29.2389,10,5.3,mww,,97,4.573,0.98,us,us2000jis2,2019-02-16T16:52:38.040Z,"262km NE of Santa Cruz das Flores, Portugal",earthquake,10.7,1.9,0.071,19,reviewed,us,us
2019-02-16T06:39:52.360Z,-2.4375,140.123,26.69,5.2,mww,,57,7.248,0.77,us,us2000jis0,2019-02-16T16:47:52.040Z,"55km WNW of Abepura, Indonesia",earthquake,8.6,5.2,0.073,18,reviewed,us,us
